pairing,n_antipodal,cv,rank
"((1, 9), (2, 8), (3, 7), (4, 6))",4,0.061093,1
"((1, 2), (3, 7), (4, 6), (8, 9))",2,0.064736,2
"((1, 4), (2, 8), (3, 7), (6, 9))",2,0.081162,3
"((1, 2), (3, 7), (4, 8), (6, 9))",1,0.085877,4
"((1, 9), (2, 8), (3, 4), (6, 7))",2,0.093966,5
"((1, 2), (3, 4), (6, 7), (8, 9))",0,0.096374,6
"((1, 4), (2, 6), (3, 7), (8, 9))",1,0.104976,7
"((1, 9), (2, 6), (3, 7), (4, 8))",2,0.106532,8
"((1, 7), (2, 8), (3, 4), (6, 9))",1,0.116681,9
"((1, 9), (2, 8), (3, 6), (4, 7))",2,0.118881,10
"((1, 2), (3, 6), (4, 7), (8, 9))",0,0.120794,11
"((1, 2), (3, 4), (6, 9), (7, 8))",0,0.120932,12
"((1, 7), (2, 6), (3, 4), (8, 9))",0,0.134339,13
"((1, 9), (2, 6), (3, 4), (7, 8))",1,0.136378,14
"((1, 4), (2, 8), (3, 9), (6, 7))",1,0.138656,15
"((1, 2), (3, 9), (4, 8), (6, 7))",0,0.141468,16
"((1, 3), (2, 8), (4, 7), (6, 9))",1,0.142414,17
"((1, 7), (2, 8), (3, 9), (4, 6))",2,0.145449,18
"((1, 2), (3, 8), (4, 7), (6, 9))",0,0.146456,19
"((1, 2), (3, 9), (4, 6), (7, 8))",1,0.148881,20
"((1, 3), (2, 6), (4, 7), (8, 9))",0,0.157208,21
"((1, 9), (2, 6), (3, 8), (4, 7))",1,0.159448,22
"((1, 4), (2, 8), (3, 6), (7, 9))",1,0.161250,23
"((1, 2), (3, 6), (4, 8), (7, 9))",0,0.163674,24
"((1, 7), (2, 6), (3, 9), (4, 8))",0,0.169624,25
"((1, 4), (2, 6), (3, 9), (7, 8))",0,0.170278,26
"((1, 3), (2, 8), (4, 6), (7, 9))",2,0.171160,27
"((1, 2), (3, 8), (4, 6), (7, 9))",1,0.174537,28
"((1, 4), (2, 3), (6, 7), (8, 9))",0,0.184812,29
"((1, 9), (2, 3), (4, 8), (6, 7))",1,0.185701,30
"((1, 7), (2, 3), (4, 6), (8, 9))",1,0.189961,31
"((1, 9), (2, 3), (4, 6), (7, 8))",2,0.191408,32
"((1, 3), (2, 6), (4, 8), (7, 9))",0,0.192126,33
"((1, 4), (2, 6), (3, 8), (7, 9))",0,0.193113,34
"((1, 7), (2, 8), (3, 6), (4, 9))",1,0.193691,35
"((1, 2), (3, 6), (4, 9), (7, 8))",0,0.196282,36
"((1, 3), (2, 8), (4, 9), (6, 7))",1,0.197182,37
"((1, 7), (2, 3), (4, 8), (6, 9))",0,0.198165,38
"((1, 4), (2, 3), (6, 9), (7, 8))",0,0.198726,39
"((1, 2), (3, 8), (4, 9), (6, 7))",0,0.200121,40
"((1, 4), (2, 7), (3, 6), (8, 9))",0,0.207321,41
"((1, 9), (2, 7), (3, 6), (4, 8))",1,0.208114,42
"((1, 3), (2, 7), (4, 6), (8, 9))",1,0.215119,43
"((1, 9), (2, 7), (3, 8), (4, 6))",2,0.216761,44
"((1, 3), (2, 6), (4, 9), (7, 8))",0,0.220567,45
"((1, 7), (2, 6), (3, 8), (4, 9))",0,0.220924,46
"((1, 3), (2, 7), (4, 8), (6, 9))",0,0.222397,47
"((1, 4), (2, 7), (3, 8), (6, 9))",0,0.223249,48
"((1, 7), (2, 4), (3, 6), (8, 9))",0,0.239577,49
"((1, 9), (2, 4), (3, 6), (7, 8))",1,0.240726,50
"((1, 3), (2, 4), (6, 7), (8, 9))",0,0.242408,51
"((1, 9), (2, 4), (3, 8), (6, 7))",1,0.243866,52
"((1, 6), (2, 8), (3, 9), (4, 7))",1,0.248910,53
"((1, 6), (2, 8), (3, 4), (7, 9))",1,0.251851,54
"((1, 2), (3, 9), (4, 7), (6, 8))",0,0.252843,55
"((1, 3), (2, 4), (6, 9), (7, 8))",0,0.253176,56
"((1, 7), (2, 4), (3, 8), (6, 9))",0,0.253487,57
"((1, 2), (3, 4), (6, 8), (7, 9))",0,0.255739,58
"((1, 6), (2, 8), (3, 7), (4, 9))",2,0.260608,59
"((1, 2), (3, 7), (4, 9), (6, 8))",1,0.264367,60
"((1, 6), (2, 3), (4, 7), (8, 9))",0,0.277283,61
"((1, 9), (2, 3), (4, 7), (6, 8))",1,0.280002,62
"((1, 7), (2, 9), (3, 6), (4, 8))",0,0.281162,63
"((1, 4), (2, 9), (3, 6), (7, 8))",0,0.281558,64
"((1, 6), (2, 7), (3, 4), (8, 9))",0,0.283566,65
"((1, 3), (2, 9), (4, 8), (6, 7))",0,0.283578,66
"((1, 4), (2, 9), (3, 8), (6, 7))",0,0.284247,67
"((1, 9), (2, 7), (3, 4), (6, 8))",1,0.286224,68
"((1, 3), (2, 9), (4, 6), (7, 8))",1,0.287348,69
"((1, 7), (2, 9), (3, 8), (4, 6))",1,0.287622,70
"((1, 8), (2, 6), (3, 9), (4, 7))",0,0.289804,71
"((1, 8), (2, 6), (3, 4), (7, 9))",0,0.292334,72
"((1, 6), (2, 4), (3, 7), (8, 9))",1,0.296307,73
"((1, 6), (2, 3), (4, 8), (7, 9))",0,0.298470,74
"((1, 9), (2, 4), (3, 7), (6, 8))",2,0.298852,75
"((1, 8), (2, 6), (3, 7), (4, 9))",1,0.299912,76
"((1, 4), (2, 3), (6, 8), (7, 9))",0,0.300449,77
"((1, 6), (2, 7), (3, 9), (4, 8))",0,0.301885,78
"((1, 4), (2, 7), (3, 9), (6, 8))",0,0.303842,79
"((1, 8), (2, 3), (4, 7), (6, 9))",0,0.307382,80
"((1, 8), (2, 7), (3, 4), (6, 9))",0,0.313061,81
"((1, 6), (2, 3), (4, 9), (7, 8))",0,0.317524,82
"((1, 7), (2, 3), (4, 9), (6, 8))",0,0.319037,83
"((1, 8), (2, 3), (4, 6), (7, 9))",1,0.321710,84
"((1, 8), (2, 4), (3, 7), (6, 9))",1,0.324646,85
"((1, 8), (2, 7), (3, 9), (4, 6))",1,0.324881,86
"((1, 6), (2, 4), (3, 9), (7, 8))",0,0.325227,87
"((1, 7), (2, 4), (3, 9), (6, 8))",0,0.326704,88
"((1, 6), (2, 9), (3, 7), (4, 8))",1,0.330836,89
"((1, 4), (2, 9), (3, 7), (6, 8))",1,0.332623,90
"((1, 6), (2, 7), (3, 8), (4, 9))",0,0.333421,91
"((1, 3), (2, 7), (4, 9), (6, 8))",0,0.334627,92
"((1, 8), (2, 3), (4, 9), (6, 7))",0,0.336277,93
"((1, 6), (2, 4), (3, 8), (7, 9))",0,0.337743,94
"((1, 3), (2, 4), (6, 8), (7, 9))",0,0.338933,95
"((1, 6), (2, 9), (3, 4), (7, 8))",0,0.341617,96
"((1, 7), (2, 9), (3, 4), (6, 8))",0,0.343024,97
"((1, 8), (2, 4), (3, 9), (6, 7))",0,0.343560,98
"((1, 8), (2, 7), (3, 6), (4, 9))",0,0.349155,99
"((1, 6), (2, 9), (3, 8), (4, 7))",0,0.351464,100
"((1, 8), (2, 9), (3, 7), (4, 6))",2,0.351946,101
"((1, 3), (2, 9), (4, 7), (6, 8))",0,0.352608,102
"((1, 8), (2, 4), (3, 6), (7, 9))",0,0.353284,103
"((1, 8), (2, 9), (3, 4), (6, 7))",0,0.359115,104
"((1, 8), (2, 9), (3, 6), (4, 7))",0,0.366424,105
